sentence,growth,slow,grown,rate,grew,new,increase,profit,sales,profitability,revenue,margin,ebitda,fast,eps,%,quarter,top,progress,bottom,strong,organic,drivers,high,add,improve,consistency,annual,quarterly,income
" More broadly, the recent declines in companies which have gone public of late--many seeing a string of 10% limit-up days--is further evidence of cooling speculation as Beijing encourages value investing, say analysts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" As more monthly source data becomes available, the GDPNow forecast for a particular quarter evolves and generally becomes more accurate, the regional reserve bank cautions on its website",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 This past month's planned opening of its latest Macau property didn't happen at advertised while the company's relationship with the Macau government may affect its application for new tables and management's ability to optimize table allocation among its Cotai and peninsula properties,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" In more traditional media, the TV industry remains under pressure amid a challenging advertising environment, and Macquarie expects TV revenue to be down 2% in the fiscal second half",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Environmental groups criticize the decision, saying it puts into limbo rules that were to provide better protections for the drinking water supply of one in three people in the US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 The company equips amateur football clubs with special video technology which enables sports events to be transmitted live in a high quality and fully automatically using the new sporttotal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
" The threat of labor unrest comes as the electric-car company prepares to begin initial production of the Model 3, its $35,sedan, the Journal's William Boston and Tim Higgins report",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Fitch has withdrawn its ratings for the following bonds due to prerefunding activity: District of Columbia (DC) (Children's Hospital Obligated Group Issue) hospital revenue bonds series 2005-(prerefunded maturities only - 254764HC0),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Better Meeting Customer Needs Has Become a Top Priority; Spending Plans Center on Technology In the year ahead, as global business leaders prioritize their financial goals, they are most likely to focus on finding ways to serve their customers more effectively",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
" We are not expecting it to break today, although further attempts higher, while likely becoming harder fought, cannot be ruled out in the near-term, Australia and New Zealand Banking Group says",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" This healthy, functional sub-segmentation of offerings in the energy section is being driven by this generations' demand for delicious brands which do something or perform a function, have less sugar, or, in CELSIUS(R)' case, zero sugar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" The team is actively working on refreshing the product line and improving supplier and vendor relationships with the ultimate goal of improved margins and increased shareholder value, Mr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" The combined company expects to have a strong balance sheet and improved free cash flows, thereby creating a robust business platform to pursue new sustainable growth opportunities including investments in additional renewables and transmission assets",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
" The EU said it will implement the blocking statute, which forbids European companies from complying with the effects of the US sanctions, allows them to recover damages from the sanctions and prevents EU courts from enforcing actions brought in foreign courts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" We are exploring selected applications with potential key accounts and research partners, including in connection with improving bone calcification and reducing periodontitis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" We are confident that this proposed path for ConvergeOne to become a publicly traded entity will prove tremendously beneficial, as evidenced by the fact that we will remain a significant shareholder in the Company moving forward",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Liazon exchanges enable companies to achieve a benefit strategy that maximizes value for their benefit dollars and helps them attract and retain talent through high employee satisfaction and empowerment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
" In addition, the Massachusetts population has experienced rapid growth in recent years, with the state's population now totaling over million people, largely concentrated in urban and exurban municipalities",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Chinese securities regulators this year plan to launch crude-oil futures in Shanghai, a step that could attract international investors, Caixin reports, quoting Fang Xinghai, the vice chairman of the China Securities Regulatory Commission",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" The company intends to continue talking with the SEC and monitoring regulatory developments in order to be prepared to proceed with a listing for the trust when conditions permit, it says",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" 365IT has a very strong IT services pedigree, with excellent voice, unified communications and cloud capability which we believe will accelerate CORETX's presence in these high growth areas and enable us to provide our customers with a broader and more comprehensive offering",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
" Our main target will be focused on the development of an industrial plan that will maximize the Group's technological strengths, especially considering the new smart evolution in both the energy and Industry applications",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Appoints Andrew Saik as Chief Financial Officer and Makes Inducement Grant under NASDAQ Rule 5635(c)(4) Additionally, Edge announced the appointment of Andrew Saik as the company's Chief Financial Officer, effective immediately",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Saudi Arabia, Kuwait and Angola have reduced their production more than they committed at a November summit that saw the cartel commit to its first output cut in eight years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ETThe submission of the improved binding bid for Greece's railway maintenance company Rosco which was due on Thursday has been postponed again to April 26, according to Greek officials",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" And although inflation may pick up in the United States because of stimulative economic policy and in the United Kingdom because of the weakness of sterling, generally inflation remains at low levels, resulting in limited pricing power",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 It is the first of its kind service that provides a unique value proposition of business continuity and improved market penetration by enhancing resellers ability to always provide top-up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
" Expect high volatility and pressure on hospital multiples, and the same volatility with some relief rallies for UNH [UnitedHealth] should it appear that something actually could get passed, suggests Sheryl Skolnick of Mizuho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
" Hong Kong, though, underperformed, with the HSI down  Portuguese energy company Galp Energia offers investors an unparalleled growth story which is independent of the price of oil, according to RBC",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" First quartile revenue-to-cost position for rutile The PFS outlines a robust dual-mineral operation with production of high -quality rutile and garnet, low operating costs due to outcropping orebody, high mineral grades, low stripping ratio, geotechnical stability, limited transportation costs and good product recoveries",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
" -- Blackbaud announced the results of a commissioned Total Economic Impact(TM) (TEI) study conducted by Forrester Consulting on behalf of Blackbaud, examining the return on investment that University of North Texas experienced by deploying Blackbaud Raiser's Edge NXT(TM)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Still, losses have been contained when compared with the debt of Catalan  Deutsche Bank changes its call on how the European Central Bank's QE tapering will play out, expecting a steeper cut but a longer extension",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" It noted, however, that a reversal of that scenario could stoke domestic prices, especially if markets get frustrated with a lack of reforms to ensure a halt to ballooning public debt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" government bonds edged higher ahead of tomorrow's release of consumer price index data for January, which is being watched especially closely this time after Labor Department data earlier in the month showed higher-than-expected wage gains",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" It will give people in Europe more power over the data that companies collect on their behavior, and create more obligations, and financial risks, for many companies around the world",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" On December, the company acquired all affiliate related assets in Baybets Limited, one of Europes leading affiliate marketing players in the sports betting segment, with a total of websites, primarily focused on the German market",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Ellis is clearly impressed with multiple technical aspects at the show, for example, Huang's contention that perhaps 70% of all workloads are AI-applicable, and thus are a compelling target for C17's Volta release and that of future product iterations",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" -- Launched SEO Wiz to power search optimization on Wix sites: Wix launched SEO Wiz, enabling users to create a personalized plan and ensure their Wix sites can be found online",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" The New Yorker's Lizzie Widdicombe profiles Glassdoor, the so-called Yelp for the workplace, where commenters can post reviews -- sometimes scathing -- of their workplace",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Currently, Whole Foods partners with Instacart on grocery delivery, although analysts have speculated Amazon could incorporate its new grocery subsidiary into its 1- and 2-hour Prime Now delivery options",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Revenues in Southeast Asia reached a new record, while in the Middle East the drop in sales suffered in was reversed despite continued, adverse political developments and persistently low oil prices",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" European Volume Manufacturer: Renault derives the majority of its revenue from the less profitable mass-market small- and medium-sized car segments, where competition is fiercest and price pressure strongest",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" CIM release is expected to commence revenue generation from commercial product sales OneSoft had ceased to generate revenue from its legacy commercial software products in July, 2014, when it sold its Serenic operating subsidiaries",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Ore from this and other properties will be prepared for production in the most efficient way possible to ensure profitably and monetization of this important discovery and all mining operations to the fullest extent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Former employees are now in line for a financial recovery in the Japanese automotive supplier's bankruptcy case and will forego efforts to freeze money in a restitution fund, according to court documents filed Monday that confirm a WSJ report last week",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" In addition to laying the groundwork to hire hundreds of top researchers, this new funding will enable Element AI to aggressively expand on a global scale focusing on AI--powered solutions for their customers in cybersecurity, intech, manufacturing, logistics and transportation, and robotics",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
" The Company also announced drilling results demonstrating the extension of the high-grade sulfide zone, referred to as the Cuye-Mascota zone, discovered in November 2016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
" Neo Lithium is well capitalized to continue the rapid development of its 3Q Project, a unique high-grade and low impurity lithium brine lake and salar complex, which encompasses approximately 35,hectares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
" Powerful drivers that will support our growth With a solid structure and a production team that is appropriately sized to satisfy the demand from television channels and digital platforms, Xilam is ready to move to the next level",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
" Routing is to an extent the China effect, he indicated, while security is turning a corner albeit slowly: In routing, it's a function of the market, it's a sort-of a flattish market",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 New guidance for 2017: DNA's net sales are expected to remain at the same level and the comparable operating result is expected to improve substantially in compared to 2016,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
" Fitch Ratings has upgraded the rating on the following Greer, SC Commission of Public Works (CPW) bonds to 'AA-' from 'A+': $million combined utility system revenue bonds, series and 2007",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Pullbacks look like a buying opportunity in my opinion, as the energy space has been getting a lot of love with talk of a far more balanced market in and prices in US crude likely to hold US$and maintain a new trading range, IG says",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Prior to Medidata, Capone held multiple senior leadership positions at ADP, one of the world's largest B2B cloud services providers, delivering critical services to over 600,companies and million of their staff members worldwide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Inflation pressures could gain momentum over the medium term, so we think TIPS (Treasury Inflation-Protected Securities) offer attractively priced hedges against the possibility that inflation expectations push bond yields higher (much as they did in the second half of 2016)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Global banking regulators at the Financial Stability Board have moved Citigroup down one peg in their ranking of banks whose collapse would pose the biggest systemic risks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" By prioritizing on-time deliveries and balancing payables and receivables when assessing orders, Ingersoll-Rand has been able to generate efficient working capital turns and high free cash flow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 The division's overall performance reflected a slightly lower start to the year in Europe compared to previous quarters due to a high basis of comparison and Mizone's adaptation in China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
" The agency will probably update directions that it gave to companies over six years ago, before the spate of high-profile breaches, including at the SEC itself and Equifax Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
" Test Engineering and Qualification & Reliability Investigation saw a substantial year-on-year rise in sales over the past months, on the back of some large ongoing projects and the start of qualification in other big contracts",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Says the NYT: The Russian interest in the normally wonky technical sessions has caused concern among other delegations, who worry that individual countries could push standards that would make the security of the blockchain technology vulnerable to surveillance and attack",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" As planned, cyan has used part of the proceeds to fund the full acquisition of Cyan Security Group GmbH, which acts as a holding for the operational units of the cyan Group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 The government of Djibouti has seized control of the Doraleh Container Terminal from Dubai Ports World after the port operator refused renegotiate an 18-year concession,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Wholesale product margins experienced ongoing headwinds from the delayed approval of the Portland production facility license, requiring the Company to purchase oil from a third party at higher cost",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" -- Successful renewal of key strategic agreements: -- In its Local Media Group, Meredith renewed its CBS affiliation agreements for its stations in Atlanta, Phoenix, Kansas City and FlintSaginaw into fiscal 2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" This has happened before, but Bernstein says this time around it looks like a structural change for the milk business since retail giants like Wal-Mart (WMT) are opening their own processing facilities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" We are also very excited about the introduction of both Symphony of the Seas and Azamara Pursuit in Europe, in April and August respectively, and the introduction of Celebrity Edge in Fort Lauderdale in November",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Red Hat OpenShift Container Platform provides the Kubernetes-centric basis for our Accenture DevOps Platform (ADOP), helping clients fuel digital transformation efforts through innovative technologies as well as best practices and our expert services",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" The reach of this information operation was small, too, accounting for less than one-tenth of a percent of the total reach of civic content on Facebook, the company says",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Aerospace operating profit was negatively impacted by lower sales volume and market pricing pressures primarily related to cabin power products, coupled with the $million impairment at Armstrong and an operating loss of $million from CCC",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" New tax regulations will require companies to claim research and development expenses over five years rather than all at once, a prospect that's raised concern for companies that heavily rely on research and development, Andrew Brown, chief financial officer of Chegg Inc",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" With considerable Arctic construction and logistics experience, Hatch is eminently suitable to assist the Fortune team in updating the NICO Feasibility Study and completing detailed engineering to support project financing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Our textbook business also continues to provide our marketing partners with a great, in-person connection point with students, as we had nearly million samples and inserts included in boxes this quarter, surprising and delighting students as they opened our iconic orange boxes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" Bank of Italy Governor Ignazio Visco says net bad loans held by Italian banks experiencing difficulties, which could find themselves obliged to offload them rapidly, are worth around EUR20 billion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Jones, President and Chief Executive Officer of Westwater Resources, said, The successful completion of this offering significantly strengthens our balance sheet at this stage of the Company's development",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" While less likely, a negative rating action could also stem from SIX taking on substantial leverage, for example with S&P Global Ratings-adjusted debt-to-EBITDA of more than 1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Shapiro qualified as an English solicitor and practiced corporate law in the United Kingdom for one of London's leading commercial law firms before pursuing a 25-year career in investment banking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Secured Acre Site for Planned HEBioT Facility in New York State - In Q2 2017, the Company entered into an agreement to acquire a site in the town of New Windsor, located approximately miles north of New York City, for $million, subject to certain terms and conditions",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Law firm Bronstein, Gewirtz & Grossman advises investors it has filed a class-action lawsuit against GyM over allegations it made false and misleading statements about its knowledge of Odebrecht's corrupt practices",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Through November 27, 2016, Apio has recognized cash dividends and an increase in the fair value of its investment in Windset of $million, consisting of a $million increase in the fair value of our investment and $million of cumulative dividends, for an ROIC of approximately 20%",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" We have successfully executed on our strategy to broaden our efforts in combination therapies, advancing our clinical trial for AFM13 with Merck's Keytruda as well as initiating our collaboration with MD Anderson to combine our NK-cell engagers with MD Anderson's adoptive NK-cell transfer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 We have gained competent and dedicated employees and exciting customers so we are looking positively at the future for Gerdins We are always looking at a number of acquisition opportunities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Revenue amounted to EUR million in the second quarter (same quarter of previous year: EUR million), bringing it to a total of EUR million in the first half of the year (previous year: EUR million; down 9",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" TreeHouse Foods, which makes store brands for retailers, plummets 36% after its earnings missed expectations, and its new COO Bob Aiken, who joined in July, has resigned",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" There is a 17% decline in the housebuilder's private forward-order book, but Numis says that combining the completed private units together with those in the order book is a more representative comparison",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Evans stated, With the recently announced commencement of our property management internalization, we are building out a vertically aligned platform which will allow us to take advantage of operating efficiencies across our portfolio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Dirk Steinbrink has been Senior EVP for Nexans' High Voltage and Underwater Cable Business Group for the past seven years and has over years experience in the cable industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
" Veronica Augustsson, CEO of Cinnober Financial Technology, said: Today's announcement is consistent with our ambition when we acquired Irisium to find a strategic partner to accelerate growth and consolidate the surveillance market",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Chuck Rifici, Chairman and CEO of Cannabis Wheaton noted, Broken Coast is widely regarded as one of the leading producers of medical cannabis in Canada and we are thrilled to have come to an agreement that will allow us to leverage each other's strengths and expand upon the world-class product and brand Broken Coast is best known for",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Some of the statements contained in this release are forward-looking statements, such as estimates and statements that describe the Issuer's future plans, objectives or goals, including words to the effect that the Issuer or management expects a stated condition or result to occur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Continued good prospects The installation market is expected to remain strong during the coming year and Instalco has many opportunities for strengthening its position in the Nordic region,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
" New Threats Fuel Fears of Another Global Cyberattack Days after WannaCry ransomware swept the globe, a new computer attack hit thousands of machines world-wide and a hacking group said it would release a fresh trove of stolen attack software",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" We are the only pure play IP networking company solely focused on a strategy of software-driven, end-to-end, wired and wireless networking solutions for enterprise customers with 100% insourced customer service, concluded Meyercord",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" division in April 2014, McKenna served as the business unit's Chief Development Officer, where she led the strategy, development and growth of Walmart's small format business and the partnership with Walmart",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" He joined Dow in and served in a variety of Sales, Marketing and Supply Chain positions before being named Commercial Director for Liquid Separations, Dow Pacific in the mid-1990s",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Together with Wolfgang we will arrange for a smooth transition of his responsibilities over the coming months and secure uninterrupted execution of our strategy to reach our stated targets for our stakeholders, said President and Chief Executive Officer Peter Wennink",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" The National Center for Missing & Exploited Children does important work on behalf of children, and we are proud to donate this data center space in order to help them fight the good fight, said Gary Wojtaszek, CEO of CyrusOne",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Raj Chakraborty, who comes from Accenture PLC, will join the firm's senior management committee and be responsible for creating and implementing an enterprise-wide digital business transformation strategy focused on improving the customer experience",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" About Scandic Scandic is the largest hotel company in the Nordic region with 15,team members and a network of close to hotels with about 45,hotel rooms in operation and under development",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Having this additional performance margin enables customers to significantly reduce the overall implementation cost and provide more reliable service over a larger installation area,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 The Adval Tech Group is well positioned in the global automotive industry as a partner for metal and plastic components and is well equipped for the future thanks to a lean organization and very solid balance sheet structure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" To supplement our organic growth and to give us a stronger presence in the small-to-mid-tier market, during the third we acquired substantially all of the assets of Keytroller, a manufacturer and marketer of electronic products for managing forklifts and construction vehicles",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
" At least chief executives have signed onto a pledge to advance diversity and inclusion among their employees, including more than signatories since the initiative's launch last month",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" We expect high reliability to continue in our refinery operations, noting that several scheduled unit maintenance turnarounds will be implemented during the spring and autumn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
" Ralf Zastrau, CEO of Nanogate SE, said, Nanogate has laid a substantial foundation for corporate development by issuing several tranches of promissory note loans and with new syndicated financing",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" The first deliveries were completed in the fourth quarter and the orders recorded for this product, which is currently being registered in the United States, are in line with expectations, while this new technology has received a very good response from ophthalmologist clients",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" The canned wine segment is growing due to new entrants and innovation, primarily due to a new wave of consumers seeking convenient alternatives to fit their active lifestyles, as well as the sustainability benefits of cans",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Moving forward, we are well positioned to take share in the enterprise networking industry with a significantly expanded, high quality enterprise customer base and new innovative products",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
